Designator,Mid X,Mid Y,Rotation,Layer
D1,65.905,-117.43,0.0,bottom
D10,228.9225,-105.14,270.0,bottom
D11,247.9725,-105.14,270.0,bottom
D12,267.0225,-105.14,270.0,bottom
D13,286.0725,-105.14,270.0,bottom
D14,314.6475,-105.14,270.0,bottom
D15,62.235,-124.19,270.0,bottom
D16,86.0475,-124.19,270.0,bottom
D17,105.0975,-124.19,270.0,bottom
D18,124.1475,-124.19,270.0,bottom
D19,143.1975,-124.19,270.0,bottom
D2,76.5225,-105.14,270.0,bottom
D20,162.2475,-124.19,270.0,bottom
D21,181.2975,-124.19,270.0,bottom
D22,200.3475,-124.19,270.0,bottom
D23,219.3975,-124.19,270.0,bottom
D24,238.4475,-124.19,270.0,bottom
D25,257.4975,-124.19,270.0,bottom
D26,276.5475,-124.19,270.0,bottom
D27,295.5975,-124.19,270.0,bottom
D28,319.41,-124.19,270.0,bottom
D29,64.61625,-143.24,270.0,bottom
D3,95.5725,-105.14,270.0,bottom
D30,90.81,-143.24,270.0,bottom
D31,109.86,-143.24,270.0,bottom
D32,128.91,-143.24,270.0,bottom
D33,147.96,-143.24,270.0,bottom
D34,167.01,-143.24,270.0,bottom
D35,186.06,-143.24,270.0,bottom
D36,205.11,-143.24,270.0,bottom
D37,224.16,-143.24,270.0,bottom
D38,243.21,-143.24,270.0,bottom
D39,262.26,-143.24,270.0,bottom
D4,114.6225,-105.14,270.0,bottom
D40,281.31,-143.24,270.0,bottom
D41,312.26625,-143.24,270.0,bottom
D42,69.37875,-162.29,270.0,bottom
D43,100.335,-162.29,270.0,bottom
D44,119.385,-162.29,270.0,bottom
D45,138.435,-162.29,270.0,bottom
D46,157.485,-162.29,270.0,bottom
D47,176.535,-162.29,270.0,bottom
D48,195.585,-162.29,270.0,bottom
D49,214.635,-162.29,270.0,bottom
D5,133.6725,-105.14,270.0,bottom
D50,233.685,-162.29,270.0,bottom
D51,252.735,-162.29,270.0,bottom
